,date,content
76,2022-10-19 17:51:13+00:00,"इन 11 विधायकों का कटा टिकट, दो मंत्रियों की सीट बदली और क्या कहती है BJP की पहली लिस्ट?

#HimachalPradeshElection #BJP 

https://t.co/Dbxc5EZvOm"
77,2022-10-19 17:49:34+00:00,"नकली vs असली
@BJP4India @AamAadmiParty https://t.co/CO8zEoGzzw"
78,2022-10-19 17:49:28+00:00,"রাজ্য বিজেপির সাধারণ সম্পাদিকা এবং MLA @paulagnimitra1 দিদি রাজ্য যুব মোর্চার ইনচার্জের দায়িত্ব পাওয়ার পর আজ প্রথম সাংগঠনিক বৈঠকে যুব মোর্চার পক্ষ থেকে দিদিকে সংবর্ধনা জানানো হলো।
@IndranilKhan @BJYMinWB @SinghShaktiBJP @Tejasvi_Surya @DrSukantaBJP @Amitava_BJP @SuvenduWB https://t.co/okjdtF3gvY"
79,2022-10-19 17:49:12+00:00,"PM मोदी 21 तारीख को #Badrinath धाम पहुचने वाले हैं. जहां वो कई विकास कार्यक्रमों की सौगात देंगे. पीएम मोदी के दौरे से पहले आज उत्तराखंड के सीएम @pushkardhami बद्रीनाथ धाम पहुंचे और तैयारियों का जायजा लिया

 #kedarnath #PMModi #NarendraModi #Uttarakhand   @BJP4India  @narendramodi https://t.co/0byGm3Y3y6"
80,2022-10-19 17:48:31+00:00,@AamAadmiParty @narendramodi @BJP4India Pura भारत jhuta bas delhi ke CM. Sache h... Upar se aaye ganga nahaye fir bhi dhaak ke 3 paat
81,2022-10-19 17:48:15+00:00,@AITCofficial @narendramodi @BJP4India TMC is giving lectures on women security 😀😃😜most laughable things of today
82,2022-10-19 17:47:21+00:00,@RahulGandhi @devendrayadvinc Bjp शर्म करो करो
83,2022-10-19 17:46:15+00:00,"#निकाय_चुनाव_बैठक 
आज दिनांक 19 अक्टूबर 2022 वार्ड नं-14 में आगामी नगर निकाय चुनाव के निमित्त भारतीय जनता पार्टी के निर्देशानुसार वार्ड बैठक का आयोजन किया गया, जिसमें मुख्य अतिथि मण्डल महामंत्री नीरज अग्रवाल जी रहे !! 🙏
@Narendrak_bjp @sunitadayalbjp @Anilsisodiabjp @BJP4BSR https://t.co/WXuYg3TT6m"
84,2022-10-19 17:44:47+00:00,@ipathak25 Delhi मे bjp ने कभी भी mcd मे कोई कार्य नहीं किया कूड़े के ढेर तैयार किया है गली मोहल्ले मे mcd ने कोई सफाई नहीं रोड टूटी हुई।
85,2022-10-19 17:44:21+00:00,"@DrJitendraSingh @BJPLive @BJP4Gujarat @narendramodi @AmitShah @JPNadda should listen to students voices which are crushed by @DrJitendraSingh by saying #UPSCExtraAttempt is not feasible.

Why it's not feasible?

Students will never let an arrogant MP cost them their dreams.
If it comes to Voting out BJP we'll do that"
