,date,content
67,2022-10-19 14:20:16+00:00,@HimaSahu4 @BJPGROUP44 @BJYM23721863 @BJYMCGState @DurgBjym @Sajavbjp @Bhilai_SM_BJP @Bhilai सही है दीदी
68,2022-10-19 14:18:01+00:00,"वर्ल्ड शूटिंग चैंपियनशिप में रजत पदक जीतकर लौटी इंदौर की प्रतिभाशाली बेटी मानवी जैन का विमानतल पर स्वागत किया।
इस अवसर पर @BJP4India के महासचिव @KailashOnline जी और MIC के पूर्व सदस्य चंदू राव शिंदेजी भी उपस्थित थे। https://t.co/fUhFlI9vlV"
69,2022-10-19 14:17:07+00:00,@BJP4India @narendramodi jay ho
70,2022-10-19 14:16:28+00:00,@BJP4India @narendramodi jay ho
71,2022-10-19 14:16:24+00:00,"भाजपा अजा मोर्चा ग्रामीण जिला अध्यक्ष पूर्व जनपद अध्यक्ष उज्जैन श्रीमती पुष्पा जी चौहान को जन्मदिवस पर बहुत-बहुत बधाई और मंगलकामनाएं।।🥀🎂💐
Pushpa Chouhan Bjp 
Shashank Chouhan II @ Barnagar Meri Jaan https://t.co/uttAtaCFqd"
72,2022-10-19 14:15:24+00:00,@BJP4India @narendramodi jay ho
73,2022-10-19 14:14:48+00:00,"माननीय विधायक, सिवनी मालवा, श्री प्रेमशंकर वर्मा जी के गृह निवास बगवाडा में परिजनों से भेंट की।

@BJP4MP @BJP4India @ChouhanShivraj @vdsharmabjp @DrPRChoudhary https://t.co/psFJfs9t2m"
74,2022-10-19 14:14:36+00:00,@BJP4India @narendramodi jay ho
75,2022-10-19 14:14:01+00:00,"I thought that it was the BJP and leaders like Modi &amp; Shah that defeated congress. But after today's results for the president post of INC, I am sure it is the congressman alone that makes sure the defeat."
76,2022-10-19 14:13:52+00:00,@AnuragV15723935 @AAPNareshBalyan To janta bjp ko hi kyu jeeta rhi hai..??
77,2022-10-19 14:13:06+00:00,@BJP4India @narendramodi jay ho
78,2022-10-19 14:12:53+00:00,"दीपावली के पावन अवसर पर आप सभी से अनुरोध है . स्वदेशी,अपनाओ, देश बचाओ .
#vocalforlocal
@BJP4India @PMOIndia @blsanthosh @JPNadda @PMuralidharRao @shivprakashbjp @nstomar @BJP4MP @ChouhanShivraj @vdsharmabjp @HitanandSharma @SuhasSBhagatBPL https://t.co/utcRi0xzNF"
79,2022-10-19 14:06:44+00:00,"कांग्रेसी खुद के चुनावों में भी वोट ठीक नहीं डाल पाते कुल 9500 वोट में से 175 ने वोट डाला ही नहीं और 412 से गलत डाला जनता के लिए तो यह पहले ही गम्भीर नहीं थे अब स्वयं के लिए भी मज़ाक ही करने लगे
@INCIndia @RahulGandhi @BJP4India @amitmalviya https://t.co/lD9QaJIp8F"
80,2022-10-19 14:01:11+00:00,"चलो जलाएं दीप वहां जहां अभी भी अंधेरा है
लक्ष्य अंत्योदय पथ अंत्योदय प्राण अंत्योदय एक कदम गरीबों को पक्की छत देने का।
@BJP4India 
@HitanandSharma 
@vdsharmabjp 
@BJP4MP https://t.co/9w6f3fMWuS"
81,2022-10-19 14:00:13+00:00,"Nitish Kumar Is In Touch With BJP, Might Even Join Hands: Prashant Kishor https://t.co/8iyB4sLfyi"
82,2022-10-19 13:52:08+00:00,"@AamAadmiParty @narendramodi @BJP4India दारू ड्रग के खेल में 
सिसोदिया जाएगा जेल में"
83,2022-10-19 13:52:01+00:00,@Bpsingh_bjp @ChouhanShivraj @BJP4MP @CMMadhyaPradesh @OfficeofSSC @vdsharmabjp Mama mamu banaa raha hai sabhi ko
84,2022-10-19 13:51:41+00:00,"https://t.co/LiPBXAQeDp
https://t.co/rJy3M9gxbn
https://t.co/dTDSjqeYF5
https://t.co/aCfgWKtSpK

Requesting to #MadhyaPradesh Ki #Shivraj #Sarkar urf #Mama please see all the videos of crime was done in #bhopal, And #police and #bjp party supporting them @ChouhanShivraj Help plz https://t.co/IyS8WRVsuE"
